id	Authors	Apellidos	Title	abstract	type
14	Lidia Gordo Malagón and María A. Hernández Cifre	Gordo Malagón and María A. Hernández Cifre	On successive minima and successive radii	We establish new inequalities relating products of the successive minima of a $0$-symmetric convex body to the product of its successive outer and inner radii. These inequalities are motivated by results of Henk and Hernández, but relate only the sequences of successive minima and radii, without involving the volume.	T
15	Sylwia Antoniuk, Alberto Espuny Díaz, Kalina Petrova and Miloš Stojaković	Antoniuk, Alberto Espuny Díaz, Kalina Petrova and Miloš Stojaković	Efficient construction of small subgraphs in the random graph process	"Consider the budget-constrained random graph process introduced by Frieze, Krivelevich and Michaeli, where each time an edge is offered through the (standard) random graph process we must irrevocably decide whether to ""purchase"" this edge or not, with our goal being to construct a graph which satisfies some property within a given time $t$ and while purchasing at most $b$ edges. We consider the problem of constructing graphs containing certain fixed small subgraphs. <br> We provide an optimal strategy for building a graph which contains a copy of $K_4$, showing that budget $b=\omega(\max\{n^8/t^5,n^2/t\})$ suffices and that if $b=o(\max\{n^8/t^5,n^2/t\})$ then no strategy can a.a.s.\ produce a graph containing a copy of $K_4$. This resolves a problem raised by Iľkovič, León and Shu. More generally, we obtain analogously tight results for containing a wheel of any fixed size, or a graph consisting of a tree plus one additional universal vertex. We also tackle the problem of constructing graphs containing a copy of $K_5$, obtaining both lower and upper bounds on the optimal budget, though a gap remains in this case."	T
17	Antonio Jesús Lorite Lopez, Daniel Camazon Portela and Juan Antonio Lopez Ramos	Lorite Lopez, Daniel Camazon Portela and Juan Antonio Lopez Ramos	A Geometric Approach to Codes from Simplicial Complexes over $\mathbb{F}_2$	Since their introduction, linear codes arising from simplicial complexes have been extensively studied from an algebraic perspective. In this work, however, we adopt a different approach: we analyze the parameters of these codes over $\mathbb{F}_2$ through the geometry of the simplicial complex that generates it, by studying how certain operations on the complex affect these parameters. This is achieved through a geometric interpretation of the weight of codewords, which allows us to describe how certain operations on the complex affect the code. <br> We also include tables of computed examples that illustrate the theoretical results and provide insight into how the code parameters can be manipulated via the operations introduced.	T
19	Luis Gustavo Da Soledade Gonzaga and Christiane Neme Campos	Gustavo Da Soledade Gonzaga and Christiane Neme Campos	On improper colourings of apart-planar graphs	  A $(k,d)$-colouring of a graph $G$ is a vertex colouring with at most $k$ colours such that every monochromatic connected component has maximum degree at most $d$.    Every planar graph admits $(3,2)$-colourings, but no $d$ exists for which every planar graph admits $(1,d)$- or $(2,d)$-colourings.   Whilst deciding whether a planar graph admits a $(2,1)$-colouring is NP-complete,   determining $(2,1)$-colourings for outerplanar graphs is polynomial.   In this work, we prove that deciding the existence of $(2,1)$-colourings of planar graphs in which every pair of triangles is disjoint remains NP-complete.	P
20	Marta Pavelka and Bruno Benedetti	Pavelka and Bruno Benedetti	Line-Hamiltonian Polytopes	For $d \ge 2$, we show that all graphs of $d$-polytopes have a Hamiltonian line graph if and only if $d \ne 3$: We exhibit a graph of a $3$-polytope on $252$ vertices whose line graph does not even have Hamiltonian paths. Adapting a construction by Grünbaum and Motzkin, for large $n$ we also construct simple $3$-polytopes on $3n$ vertices in whose line graph any simple path is shorter than $10 n^{\alpha}$, for some constant $\alpha<1$. 	T
21	Linxuan Li	Li	Fans Arising from Lattice Polytopes of Mixed Volume One and Their Generalizations	Inspired by the Esterov--Gusev classification theorem for tuples of lattice polytopes of mixed volume one, we study a family of weighted balanced polyhedral fans canonically induced by their subtuples. We show that these fans admit a rigid combinatorial structure and obtain a finiteness classification in a distinguished low-dimensional case. Motivated also by Fink's classification of Bergman fans, we further generalize the construction to arbitrary weighted balanced fans and prove that the same type of structural and finiteness phenomena persists beyond the mixed-volume-one setting.	P
22	Monica Blanco, Francisco Criado and Francisco Santos	Blanco, Francisco Criado and Francisco Santos	Coloopless Zonotopes and Counterexamples to the Shifted Lonely Runner Conjecture	"Starting with the reformulation of the Lonely Runner Conjecture (and its shifted version) in terms of ""lonely runner zonotopes"" (Henze and Malikiosis, 2017), in this work we do two things:<br> - We show that LR zonotopes fit into a much larger class of zonotopes, that we call coloopless. This class is quite general and closed under projection, which allows us to give a more general and  transparent proof of the main result of Malikiosis-Santos-Schymura (2025): the smallest counter-examples to LRC, in case they exist, have sum of velocities bounded by $\binom{n+1}{2}^{n-1}$.<br> - We show counter-examples to the Shifted Lonely Runner Conjecture starting at $n=5$."	T
23	Kerri Morgan and Lluis Vena	Morgan and Lluis Vena	On the chromatic unicity of wheels: characterizing all the cases	We characterize the remaining cases of the chromatic unicity of the wheel graphs. More precisely, we show that, if the wheel (a cycle graph with an additional vertex adjacent to everything else) has an even number of vertices and it is $\geq 10$, then such wheel is determined by its chromatic polynomial. This solves the remaining cases of a question by Chao and Whitehead from 1978 regarding the unicity of the chromatic polynomials of the wheel graphs. We use an extension of Whitney/Farrel's work to express the coefficients of the chromatic polynomials as expressions depending on the induced subgraphs.  We use these results to conclude that any graph chromatically equivalent to the wheel should contain a complete graph on $4$ vertices as a subgraph. Then, we combine such conclusion with how the chromatic polynomial  depends on (some) acyclic orientations which was given by Bernardi and Nadeau to show that the wheels with more than $9$ vertices are chromatically unique.	T
24	Hoory Shlomo and Daniel Kotlar	Shlomo and Daniel Kotlar	On the equal sum partition problem	We consider the equal sum partition problem, motivated by distance magic graph labeling: Given $n,k \in \mathbb{N}$ such that $k\, | \sum_{i=1}^ni$ and a partition $p_1+\cdots+p_k=n$, when is it possible to find a partition of the set $\{1,2,\ldots,n\}$ into $k$ subsets of sizes $p_1,\dots,p_k$, such that the element sum in each subset is the same?  <br> A well-known necessary condition is the <em>slack condition</em>, which requires that, for all $j$, placing the largest possible elements in the $j$ smallest sets yields a total sum at least as large as needed. However, this condition is not sufficient, and known counterexamples exist.  <br> In this work, we extend the list of unsolvable problem instances satisfying the slack condition by exhibiting infinite families where the $n/k$ ratio is any rational number in the interval $(2,\frac{24}{7})$. Furthermore, we show that the slack condition is natural, as it is both necessary and sufficient for the fractional relaxation of the problem. Guided by this observation, we prove that the problem is solvable with high probability for the class of linear partitions, where $k$ is fixed, $p_1,\ldots,p_k$ grow linearly with $n$, and where the slack condition holds in a strong sense. We do this by applying a randomized rounding algorithm to a solution of the fractional relaxation of the problem. 	T
25	Jack Allsop and Patrick Morris	Allsop and Patrick Morris	Substructures in random Latin squares	This abstract studies the probability of substructures occurring in random Latin squares. A consequence of our main result is that for a partial Latin square $P$ of order $n$ with $o(n)$ non-empty rows and columns (as $n \to \infty$) and $k$ total non-empty cells and a random Latin square $\mathbf{L}$ of order $n$, the probability that $\mathbf{L}$ contains $P$ lies between $((1/23-o(1))/n)^k$ and $((23+o(1))/n)^k$. We apply this result to subsquares in random Latin squares to obtain the first proof of the fact that the expected number of subsquares of order $3$ in a random Latin square of order $n$ is non-vanishing as $n \to \infty$. We are also able to provide the best known asymptotics for the expected number of subsquares of order $m$ in a random Latin square of order $n$ when $m=o(n)$.	T
27	Gergely Kiss	Kiss	Cylinder type and $p$-divisible sets in $\mathbb{F}_p^3$	A set $S\subseteq \mathbb{F}_p^n$ is called $p$-<em>divisible</em> if every affine hyperplane meets $S$ in $0 \pmod p$ points. Ball's strong cylinder conjecture predicts that every $p$-divisible set of size $p^2$ in $\mathbb{F}_p^3$ is a cylinder. We prove a structural relaxation of this statement: every $p$-divisible multiset on $\mathbb{F}_p^3$ lies in the $\mathbb{F}_p$-linear span of cylinders, equivalently in the span of differences of parallel lines, and every nonnegative integer-valued $p$-divisible multiset of total weight $p^2$ is in fact a $\mathbb{Z}$-linear combination of cylinders. The proof is based on an explicit polynomial description of the orthogonal complement of the span of affine planes. This isolates a natural remaining rigidity question toward Ball's conjecture.	T
28	Hoi Ping Luk, Roman Nedela and Christopher Purcell	Luk, Roman Nedela and Christopher Purcell	Tiling the sphere with regular polygons	We give a complete classification of edge-to-edge tilings of the sphere by regular polygons under a unified framework. Our proof does not assume local convexity of the tiles, nor global symmetry of the tilings, nor polyhedrality of their underlying graphs. It is also independent of the Johnson-Zalgaller classification of solids with regular faces (1967) which took over $200$ pages. We apply a blend of trigonometric, algebraic and combinatorial tools of independent interest.	T
29	Egor Bakaev and Amir Yehudayoff	Bakaev and Amir Yehudayoff	A note on the affine plank conjecture	In 1951, Bang posed the <em>affine plank conjecture</em>, which remains open: If a convex body in $\mathbb{R}^d$ is covered by planks, then the total relative width of the planks is at least one. We prove a lower bound of $2/(1+\sqrt{d})$ for this total relative width. The best previously known lower bound was $2/(1+d)$.	T
30	Gabriela Araujo-Pardo and Leonardo Martinez-Sandoval	Araujo-Pardo and Leonardo Martinez-Sandoval	On the arc chromatic number for Galois projective planes, affine planes and Euclidean grids. The fractional version for projective planes.	    Given any finite plane, defined as pairs $(\mathcal{P},\mathcal{L})$, where $\mathcal{P}$ and $\mathcal{L}$ represent the set of points and lines, respectively. An <em>arc</em> is a set of $\mathcal{P}$ containing no three collinear points.      <br>     In this work, we determine that the minimal number of arcs required to partition the Galois projective plane $PG(2,q)$ is $q+1$, and we also establish the exact value for a fractional variant of this problem.     Extending our study to affine planes $AG(2,q)$, we prove that they admit partitions into $q$ arcs.     <br>     In particular, we show that this partition is tight when $q$ is an odd prime power, and that a $(q-1)$-partition is achievable for $q=2^k$ with $k \in \{1,2,3\}$.     For $q=2^k$ with $k \ge 4$, we provide explicit bounds between the two feasible values.     <br>     Finally, we apply these results to Euclidean grids, establishing the existence of partitions into $(1+\varepsilon)n$ sets in general position for any $\varepsilon>0$ and sufficiently large $n$, and we give exact minimal partitions for small grids.	P
31	Cyril Banderier and Michael Drmota	Banderier and Michael Drmota	Combinatorics and Asymptotics of Systems of Linear Catalytic Equations	We provide a complete combinatorial and asymptotic analysis of  positive linear systems of equations in one catalytic variable that appear in several combinatorial problems, such as lattice-path  counting or stack-sortable permutation counting. <br> We show that the corresponding generating functions satisfy a positive polynomial system of equations  (which is associated to a context-free grammar).  Furthermore we prove a universal asymptotic behaviour.	T
